x-axis,1,2,F1
second,Volt,Volt,Volt
-10.00000E-03,-2.63907546E+00,+2.55947498E+00,-5.18147802E+00
-9.99000E-03,-2.63028149E+00,+2.59967598E+00,-5.21077490E+00
-9.98000E-03,-2.63907546E+00,+2.57957548E+00,-5.20003271E+00
-9.97000E-03,-2.61897496E+00,+2.57078151E+00,-5.17073584E+00
-9.96000E-03,-2.62023124E+00,+2.55947498E+00,-5.16097021E+00
-9.95000E-03,-2.63907546E+00,+2.54942473E+00,-5.17073584E+00
-9.94000E-03,-2.65917596E+00,+2.55947498E+00,-5.20003271E+00
-9.93000E-03,-2.62902521E+00,+2.56952523E+00,-5.18050146E+00
-9.92000E-03,-2.63907546E+00,+2.54063076E+00,-5.16097021E+00
-9.91000E-03,-2.63028149E+00,+2.54942473E+00,-5.16097021E+00
-9.90000E-03,-2.63907546E+00,+2.55947498E+00,-5.18050146E+00
-9.89000E-03,-2.61897496E+00,+2.55068101E+00,-5.15120459E+00
-9.88000E-03,-2.63907546E+00,+2.54063076E+00,-5.16097021E+00
-9.87000E-03,-2.60892471E+00,+2.53937448E+00,-5.13069677E+00
-9.86000E-03,-2.61897496E+00,+2.53937448E+00,-5.14143896E+00
-9.85000E-03,-2.60892471E+00,+2.55068101E+00,-5.14143896E+00
-9.84000E-03,-2.59887446E+00,+2.54063076E+00,-5.12093115E+00
-9.83000E-03,-2.59887446E+00,+2.53937448E+00,-5.12093115E+00
-9.82000E-03,-2.59887446E+00,+2.52053026E+00,-5.10139990E+00
-9.81000E-03,-2.59008049E+00,+2.54942473E+00,-5.12093115E+00
-9.80000E-03,-2.59887446E+00,+2.53937448E+00,-5.12093115E+00
-9.79000E-03,-2.59887446E+00,+2.53937448E+00,-5.12093115E+00
-9.78000E-03,-2.58003023E+00,+2.53937448E+00,-5.10139990E+00
-9.77000E-03,-2.60013074E+00,+2.52932423E+00,-5.11116552E+00
-9.76000E-03,-2.58003023E+00,+2.51927397E+00,-5.08089209E+00
-9.75000E-03,-2.59008049E+00,+2.52932423E+00,-5.10139990E+00
-9.74000E-03,-2.59887446E+00,+2.50042975E+00,-5.08089209E+00
-9.73000E-03,-2.58882420E+00,+2.52932423E+00,-5.10042334E+00
-9.72000E-03,-2.59887446E+00,+2.50042975E+00,-5.08089209E+00
-9.71000E-03,-2.59008049E+00,+2.50922372E+00,-5.08089209E+00
-9.70000E-03,-2.59887446E+00,+2.52053026E+00,-5.10139990E+00
-9.69000E-03,-2.61018099E+00,+2.49917347E+00,-5.09065771E+00
-9.68000E-03,-2.58003023E+00,+2.49917347E+00,-5.06038427E+00
-9.67000E-03,-2.56997998E+00,+2.50922372E+00,-5.06038427E+00
-9.66000E-03,-2.55992973E+00,+2.50042975E+00,-5.04085302E+00
-9.65000E-03,-2.54862320E+00,+2.50042975E+00,-5.03011084E+00
-9.64000E-03,-2.55992973E+00,+2.50042975E+00,-5.04085302E+00
-9.63000E-03,-2.54862320E+00,+2.51048000E+00,-5.04085302E+00
-9.62000E-03,-2.57877395E+00,+2.48032925E+00,-5.04085302E+00
-9.61000E-03,-2.53857295E+00,+2.49917347E+00,-5.02034521E+00
-9.60000E-03,-2.55867345E+00,+2.47907297E+00,-5.01936865E+00
-9.59000E-03,-2.55867345E+00,+2.49917347E+00,-5.04085302E+00
-9.58000E-03,-2.55867345E+00,+2.47907297E+00,-5.01936865E+00
-9.57000E-03,-2.54862320E+00,+2.47027900E+00,-5.00081396E+00
-9.56000E-03,-2.55867345E+00,+2.47907297E+00,-5.01936865E+00
-9.55000E-03,-2.53857295E+00,+2.48912322E+00,-5.00960302E+00
-9.54000E-03,-2.53982923E+00,+2.47907297E+00,-5.00081396E+00
